               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,           0.0061836,           0.0027141,            0.013819,             0.93228,             0.91147,             0.97373,             0.97373,           0.0013878,           0.0021122,           0.0029584,           0.0089673,           0.0089673,           0.0089673
                  35,            0.006177,           0.0026991,            0.013227,             0.93268,             0.91492,             0.97326,             0.97326,           0.0012956,           0.0021214,           0.0029459,           0.0089065,           0.0089065,           0.0089065
                  36,           0.0060094,            0.002624,            0.013192,             0.93682,             0.91423,             0.97389,             0.97388,           0.0012804,           0.0021627,           0.0028764,           0.0088442,           0.0088442,           0.0088442
                  37,            0.005979,           0.0026497,             0.01299,             0.94752,             0.90149,             0.97339,             0.97339,           0.0012778,           0.0021527,            0.002954,           0.0087804,           0.0087804,           0.0087804
                  38,           0.0060046,           0.0026339,            0.013006,             0.95442,             0.89773,             0.97472,             0.97472,           0.0012765,           0.0021575,           0.0028873,           0.0087151,           0.0087151,           0.0087151
                  39,            0.005886,           0.0026232,             0.01249,             0.96014,             0.89606,             0.97472,             0.97472,           0.0012754,           0.0021783,           0.0028374,           0.0086485,           0.0086485,           0.0086485
                  40,           0.0058701,           0.0025636,             0.01228,             0.96109,             0.89792,             0.97412,             0.97412,           0.0012577,           0.0022152,           0.0028385,           0.0085805,           0.0085805,           0.0085805
                  41,           0.0058194,           0.0026137,             0.01218,             0.96776,              0.8908,             0.97356,             0.97356,           0.0012332,           0.0022148,            0.002861,           0.0085111,           0.0085111,           0.0085111
                  42,           0.0058572,           0.0025507,            0.012196,             0.96762,              0.8946,             0.97458,             0.97458,           0.0012437,           0.0022184,           0.0027787,           0.0084404,           0.0084404,           0.0084404
                  43,           0.0057749,           0.0025542,            0.012291,              0.9677,             0.89299,             0.97528,             0.97528,           0.0012364,           0.0022242,            0.002712,           0.0083684,           0.0083684,           0.0083684
                  44,           0.0058197,           0.0025658,            0.012118,             0.96683,             0.89431,             0.97539,             0.97539,           0.0012221,           0.0022255,           0.0027072,           0.0082952,           0.0082952,           0.0082952
                  45,           0.0057251,            0.002569,            0.012099,              0.9647,             0.89783,             0.97539,             0.97539,           0.0012122,           0.0022142,           0.0026836,           0.0082207,           0.0082207,           0.0082207
                  46,           0.0056693,           0.0025379,            0.012258,             0.96085,             0.90374,             0.97567,             0.97567,            0.001201,            0.002197,           0.0026644,            0.008145,            0.008145,            0.008145
                  47,           0.0056641,           0.0025083,            0.011796,             0.96239,             0.90453,             0.97616,             0.97616,           0.0012019,           0.0021946,           0.0026147,           0.0080682,           0.0080682,           0.0080682
                  48,           0.0055007,           0.0025064,            0.011785,             0.95336,             0.91085,             0.97665,             0.97665,            0.001208,           0.0021965,           0.0025925,           0.0079903,           0.0079903,           0.0079903
                  49,            0.005573,           0.0025124,            0.011559,             0.94371,             0.91992,             0.97692,             0.97692,           0.0012072,           0.0021991,           0.0025701,           0.0079112,           0.0079112,           0.0079112
                  50,           0.0054345,           0.0024765,            0.011651,             0.96316,             0.90311,             0.97731,             0.97731,            0.001216,           0.0021969,            0.002543,           0.0078311,           0.0078311,           0.0078311
                  51,           0.0054493,            0.002448,            0.011418,             0.96067,             0.90522,             0.97772,             0.97772,            0.001226,           0.0022015,           0.0025239,             0.00775,             0.00775,             0.00775
                  52,           0.0054418,           0.0024307,            0.011178,             0.95889,              0.9075,             0.97789,             0.97789,           0.0012238,           0.0021994,           0.0025139,           0.0076679,           0.0076679,           0.0076679
                  53,           0.0053384,           0.0024186,            0.011242,             0.96047,             0.90822,             0.97819,             0.97819,           0.0012322,           0.0022043,           0.0025102,           0.0075848,           0.0075848,           0.0075848
                  54,           0.0052296,           0.0023887,            0.011156,             0.96179,             0.90771,             0.97847,             0.97847,           0.0012403,           0.0022156,           0.0025103,           0.0075009,           0.0075009,           0.0075009
                  55,           0.0052337,             0.00235,            0.010985,             0.94081,             0.92966,             0.97889,             0.97889,            0.001242,           0.0022235,           0.0024795,            0.007416,            0.007416,            0.007416
                  56,           0.0052644,           0.0023853,            0.011079,             0.95012,             0.92427,             0.97904,             0.97904,           0.0012641,           0.0022234,           0.0024511,           0.0073303,           0.0073303,           0.0073303
